Temps;AccX;AccY;AccZ;RotX;RotY;RotZ
0.290367;-512.0;-768.0;-15104.0;-256;0;0
0.290892;-512.0;-768.0;-15104.0;-256;0;0
0.581954;-512.0;-768.0;-15360.0;-256;0;0
0.583024;-512.0;-768.0;-15360.0;-256;0;0
0.874612;-768.0;-768.0;-15104.0;-256;0;0
0.8762099999999999;-512.0;-1024.0;-15104.0;-256;0;0
1.1683599999999998;-512.0;-1024.0;-15104.0;-256;0;0
1.1705079999999999;-512.0;-768.0;-14848.0;-256;0;0
1.4631919999999998;-512.0;-768.0;-15104.0;-256;0;0
1.4658859999999998;-512.0;-768.0;-15104.0;-256;0;0
1.7591089999999998;-768.0;-1024.0;-15104.0;-256;0;0
1.7623379999999997;-768.0;-768.0;-15104.0;-256;0;0
2.056122;-512.0;-768.0;-15104.0;-256;0;0
2.059888;-768.0;-1024.0;-15104.0;-256;0;0
2.354213;-768.0;-768.0;-15104.0;-256;0;0
2.358505;-512.0;-768.0;-15104.0;-256;0;0
2.653363;-768.0;-768.0;-15360.0;-256;0;0
2.658191;-768.0;-768.0;-15360.0;-256;0;0
2.953605;-512.0;-1024.0;-15360.0;-256;0;0
2.958962;-512.0;-768.0;-15104.0;-256;0;0
